Types of Transaction,Month,Year,Volume,Amount,Type of Transaction,,,,
USD Trades (Peso Leg),Feb,2018,15279.00,2602414968538.28,BSP,,,,
USD Trades (Peso Leg),Mar,2018,11904.00,2389369603367.17,BSP,,,,
USD Trades (Peso Leg),Apr,2018,11800.00,2460354522482.69,BSP,,,,
USD Trades (Peso Leg),May,2018,14411.00,2925986632259.62,BSP,,,,
USD Trades (Peso Leg),Jun,2018,12879.00,2613095867268.43,BSP,,,,
USD Trades (Peso Leg),Jul,2018,12022.00,2597467829339.48,BSP,,,,
USD Trades (Peso Leg),Aug,2018,13356.00,2772516479869.05,BSP,,,,
USD Trades (Peso Leg),Sep,2018,12109.00,2865037922048.18,BSP,,,,
USD Trades (Peso Leg),Oct,2018,15310.00,2970000000000.00,BSP,,,,
USD Trades (Peso Leg),Nov,2018,14089.00,2890000000000.00,BSP,,,,
USD Trades (Peso Leg),Dec,2018,12332.00,2710000000000.00,BSP,,,,
USD Trades (Peso Leg),Jan,2019,16156.00,3036045722000.00,BSP,,,,
USD Trades (Peso Leg),Feb,2019,15240.00,2928930512000.00,BSP,,,,
USD Trades (Peso Leg),Mar,2019,18812.00,3819553730000.00,BSP,,,,
USD Trades (Peso Leg),Apr,2019,14601.00,3030625746000.00,BSP,,,,
USD Trades (Peso Leg),May,2019,16781.00,3124712111000.00,BSP,,,,
GS Trades ,Jan,2016,3466.00,187753013601.12,BSP,,,,
GS Trades ,Feb,2016,5608.00,331080135804.62,BSP,,,,
GS Trades ,Mar,2016,4018.00,175525865839.58,BSP,,,,
GS Trades ,Apr,2016,3745.00,257673161361.24,BSP,,,,
GS Trades ,May,2016,3748.00,271318518631.43,BSP,,,,
GS Trades ,Jun,2016,4577.00,264849243769.98,BSP,,,,
GS Trades ,Jul,2016,4327.00,273597756446.08,BSP,,,,
GS Trades ,Aug,2016,3123.00,150285009397.31,BSP,,,,
GS Trades ,Sep,2016,2679.00,122069295541.98,BSP,,,,
GS Trades ,Oct,2016,2564.00,81531219506.84,BSP,,,,
GS Trades ,Nov,2016,1667.00,59685086604.06,BSP,,,,
GS Trades ,Dec,2016,1795.00,53953860698.17,BSP,,,,
GS Trades ,Jan,2017,4177.00,203210093850.31,BSP,,,,
GS Trades ,Feb,2017,3356.00,166645022026.01,BSP,,,,
GS Trades ,Mar,2017,3910.00,200838337210.55,BSP,,,,
GS Trades ,Apr,2017,2694.00,137025181761.02,BSP,,,,
GS Trades ,May,2017,4462.00,189260585498.97,BSP,,,,
GS Trades ,Jun,2017,4384.00,177979786453.30,BSP,,,,
GS Trades ,Jul,2017,4355.00,168836903591.67,BSP,,,,
GS Trades ,Aug,2017,3818.00,171767358751.15,BSP,,,,
GS Trades ,Sep,2017,4370.00,211425278122.92,BSP,,,,
GS Trades ,Oct,2017,3178.00,90891075405.58,BSP,,,,
GS Trades ,Nov,2017,2089.00,55158403497.64,BSP,,,,
GS Trades ,Dec,2017,2379.00,102105704645.24,BSP,,,,
GS Trades ,Jan,2018,0.00,0.00,BSP,,,,
GS Trades ,Feb,2018,0.00,0.00,BSP,,,,
GS Trades ,Mar,2018,0.00,0.00,BSP,,,,
GS Trades ,Apr,2018,0.00,0.00,BSP,,,,
GS Trades ,May,2018,0.00,0.00,BSP,,,,
GS Trades ,Jun,2018,0.00,0.00,BSP,,,,
GS Trades ,Jul,2018,0.00,0.00,BSP,,,,
GS Trades ,Aug,2018,0.00,0.00,BSP,,,,
GS Trades ,Sep,2018,0.00,0.00,BSP,,,,
GS Trades ,Oct,2018,0.00,0.00,BSP,,,,
GS Trades ,Nov,2018,0.00,0.00,BSP,,,,
GS Trades ,Dec,2018,0.00,0.00,BSP,,,,
GS Trades ,Jan,2019,0.00,0.00,BSP,,,,
GS Trades ,Feb,2019,0.00,0.00,BSP,,,,
GS Trades ,Mar,2019,0.00,0.00,BSP,,,,
GS Trades ,Apr,2019,0.00,0.00,BSP,,,,
GS Trades ,May,2019,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Jan,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Feb,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Mar,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Apr,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,May,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Jun,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Jul,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Aug,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Sep,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Oct,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Nov,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Dec,2016,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Jan,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Feb,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Mar,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Apr,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,May,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Jun,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Jul,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Aug,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Sep,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Oct,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Nov,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Dec,2017,0.00,0.00,BSP,,,,
GS Secondary Market Trades ,Jan,2018,114.00,12479139932.52,BSP,,,,
GS Secondary Market Trades ,Feb,2018,140.00,9900209454.09,BSP,,,,
GS Secondary Market Trades ,Mar,2018,99.00,8659799974.20,BSP,,,,
GS Secondary Market Trades ,Apr,2018,226.00,15880300143.21,BSP,,,,
GS Secondary Market Trades ,May,2018,350.00,22951969875.21,BSP,,,,
GS Secondary Market Trades ,Jun,2018,252.00,28277082952.48,BSP,,,,
GS Secondary Market Trades ,Jul,2018,324.00,21379645124.14,BSP,,,,
GS Secondary Market Trades ,Aug,2018,941.00,89669596392.86,BSP,,,,
GS Secondary Market Trades ,Sep,2018,3754.00,234948569972.45,BSP,,,,
GS Secondary Market Trades ,Oct,2018,4937.00,240000000000.00,BSP,,,,
GS Secondary Market Trades ,Nov,2018,4924.00,330000000000.00,BSP,,,,
GS Secondary Market Trades ,Dec,2018,3731.00,360000000000.00,BSP,,,,
GS Secondary Market Trades ,Jan,2019,7625.00,593784921000.00,BSP,,,,
GS Secondary Market Trades ,Feb,2019,5138.00,465592470000.00,BSP,,,,
GS Secondary Market Trades ,Mar,2019,8400.00,879441650000.00,BSP,,,,
GS Secondary Market Trades ,Apr,2019,5944.00,400907530000.00,BSP,,,,
GS Secondary Market Trades ,May,2019,10163.00,689592989000.00,BSP,,,,
GS Public Market Trades,Jan,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Feb,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Mar,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Apr,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,May,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Jun,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Jul,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Aug,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Sep,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Oct,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Nov,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Dec,2016,0.00,0.00,BSP,,,,
GS Public Market Trades,Jan,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Feb,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Mar,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Apr,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,May,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Jun,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Jul,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Aug,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Sep,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Oct,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Nov,2017,0.00,0.00,BSP,,,,
GS Public Market Trades,Dec,2017,0.00,0.00,BSP,,,,
